4 
time [ms], voltage [V], theta [rad]  
 6.750,  0.000,  0.000  
 6.760,  0.000,  0.000  
 6.770,  0.000,  0.000  
 6.780,  0.000,  0.000  
 6.790,  0.000,  0.000  
 6.800,  0.000,  0.000  
 6.810,  0.000,  0.000  
 6.820,  0.000,  0.000  
 6.830,  0.000,  0.000  
 6.840,  0.000,  0.000  
 6.850,  0.000,  0.000  
 6.860,  0.000,  0.000  
 6.870,  0.000,  0.000  
 6.880,  0.000,  0.000  
 6.890,  0.000,  0.000  
 6.910,  0.000,  0.000  
 6.920,  0.000,  0.000  
 6.930,  0.000,  0.000  
 6.940,  0.000,  0.000  
 6.950,  0.000,  0.000  
 6.960,  0.000,  0.000  
 6.970,  0.000,  0.000  
 6.980,  0.000,  0.000  
 6.990,  0.000,  0.000  
 7.000, -5.000,  0.000  
 7.010, -5.000, -0.150  
 7.020, -5.000, -0.299  
 7.030, -5.000, -0.598  
 7.040, -5.000, -0.598  
 7.050, -5.000, -0.598  
 7.060, -5.000, -0.748  
 7.070, -5.000, -0.598  
 7.080, -5.000, -0.748  
 7.100, -5.000, -0.748  
 7.110, -5.000, -0.598  
 7.120, -5.000, -0.748  
 7.130, -5.000, -0.748  
 7.140, -5.000, -0.748  
 7.150, -5.000, -0.598  
 7.160, -5.000, -0.748  
 7.170, -5.000, -0.748  
 7.180, -5.000, -0.748  
 7.190, -5.000, -0.598  
 7.200, -5.000, -0.748  
 7.210, -5.000, -0.748  
 7.220, -5.000, -0.748  
 7.230, -5.000, -0.598  
 7.240, -5.000, -0.748  
 7.260, -5.000, -0.748  
 7.270, -5.000, -0.748  
 7.280, -5.000, -0.598  
 7.290, -5.000, -0.748  
 7.300, -5.000, -0.748  
 7.310, -5.000, -0.748  
 7.320, -5.000, -0.598  
 7.330, -5.000, -0.748  
 7.340, -5.000, -0.748  
 7.350, -5.000, -0.748  
 7.360, -5.000, -0.598  
 7.370, -5.000, -0.748  
 7.380, -5.000, -0.748  
 7.390, -5.000, -0.748  
 7.400, -5.000, -0.598  
 7.410, -5.000, -0.748  
 7.430, -5.000, -0.748  
 7.440, -5.000, -0.598  
 7.450, -5.000, -0.748  
 7.460, -5.000, -0.748  
 7.470, -5.000, -0.748  
 7.480, -5.000, -0.598  
 7.490, -5.000, -0.748  
 7.500, -5.000, -0.748  
 7.510, -5.000, -0.748  
 7.520, -5.000, -0.598  
 7.530, -5.000, -0.748  
 7.540, -5.000, -0.748  
 7.550, -5.000, -0.748  
 7.560, -5.000, -0.598  
 7.570, -5.000, -0.748  
 7.580, -5.000, -0.748  
 7.600, -5.000, -0.598  
 7.610, -5.000, -0.748  
 7.620, -5.000, -0.748  
 7.630, -5.000, -0.748  
 7.640, -5.000, -0.748  
 7.650, -5.000, -0.598  
 7.660, -5.000, -0.748  
 7.670, -5.000, -0.748  
 7.680, -5.000, -0.748  
 7.690, -5.000, -0.598  
 7.700, -5.000, -0.748  
 7.710, -5.000, -0.748  
 7.720, -5.000, -0.748  
 7.730, -5.000, -0.598  
 7.740, -5.000, -0.748  
 7.760, -5.000, -0.748  
 7.770, -5.000, -0.598  
